user,data_point,mse
user6,348,0.030738147
user6,349,0.037893392
user6,350,0.04274919
user6,351,0.053292118
user6,352,0.060303297
user6,353,0.04560754
user6,354,0.042828284
user6,355,0.03786774
user6,356,0.030726109
user6,357,0.03163416
user6,358,0.033331413
user6,359,0.034750815
user6,360,0.035935394
user6,361,0.036388144
user6,362,0.037285075
user6,363,0.037066337
user6,364,0.034517206
user6,365,0.031440116
user6,366,0.030769486
user6,367,0.03096088
user6,368,0.033922512
user6,369,0.034067478
user6,370,0.034256194
user6,371,0.032966573
user6,372,0.031998906
user6,373,0.030753251
user6,374,0.030792179
user6,375,0.032696325
user6,376,0.037107904
user6,377,0.036854573
user6,378,0.042506203
user6,379,0.03100469
user6,380,0.030801777
user6,381,0.032718066
user6,382,0.03398787
user6,383,0.03472941
user6,384,0.035441518
user6,385,0.035907183
user6,386,0.03618171
user6,387,0.035641566
user6,388,0.030739533
user6,389,0.0398199
user6,390,0.030751176
user6,391,0.031849958
user6,392,0.031879432
user6,393,0.03133499
user6,394,0.03082659
user6,395,0.042148132
user6,396,0.038840733
user6,397,0.038230717
user6,398,0.03829648
user6,399,0.0426442
user6,400,0.07813193
user6,401,0.05198262
user6,402,0.038029388
user6,403,0.031629063
user6,404,0.030742228
user6,405,0.031951908
user6,406,0.03307161
user6,407,0.03414393
user6,408,0.034920774
user6,409,0.035543673
user6,410,0.0355986
user6,411,0.034263022
user6,412,0.0341736
user6,413,0.030716754
user6,414,0.03225749
user6,415,0.03118002
user6,416,0.032169096
user6,417,0.03206428
user6,418,0.032816432
user6,419,0.03142518
user6,420,0.031701498
user6,421,0.030729085
user6,422,0.031068036
user6,423,0.035011083
user6,424,0.053180236
user6,425,0.043335773
user6,426,0.031984527
user6,427,0.033390842
user6,428,0.031660534
user6,429,0.032564495
user6,430,0.03388823
user6,431,0.034707073
user6,432,0.03514902
user6,433,0.035329144
user6,434,0.034939185
user6,435,0.03207
user6,436,0.0334715
user6,437,0.030858912
user6,438,0.031799022
user6,439,0.033930365
user6,440,0.033811696
user6,441,0.033874653
user6,442,0.03366774
user6,443,0.032957394
user6,444,0.032386765
user6,445,0.03097398
user6,446,0.031068258
user6,447,0.035777733
user6,448,0.037388913
user6,449,0.035858225
user6,450,0.032257333
user6,451,0.03069929
user6,452,0.031301826
user6,453,0.03287622
user6,454,0.03398461
user6,455,0.03560878
user6,456,0.036911033
user6,457,0.03785106
user6,458,0.038660742
user6,459,0.03853857
user6,460,0.036515657
user6,461,0.031032851
user6,462,0.031824164
user6,463,0.033764586
user6,464,0.035529938
user6,465,0.035505056
user6,466,0.0347315
user6,467,0.033811156
user6,468,0.032337237
user6,469,0.030699912
user6,470,0.032408368
user6,471,0.03392261
user6,472,0.034544535
user6,473,0.033328183
user6,474,0.030860823
user6,475,0.031033507
user6,476,0.03458759
user6,477,0.03693292
user6,478,0.039075382
user6,479,0.04075428
user6,480,0.041616537
user6,481,0.041706998
user6,482,0.041611698
user6,483,0.040544644
user6,484,0.03734904
user6,485,0.031195901
user6,486,0.031611852
user6,487,0.032992586
user6,488,0.033796564
user6,489,0.03440825
user6,490,0.0342827
user6,491,0.03439576
user6,492,0.032976296
user6,493,0.03161998
user6,494,0.030703288
user6,495,0.03158719
user6,496,0.034594394
user6,497,0.036877263
user6,498,0.031695988
user6,499,0.03069664
user6,500,0.030768473
user6,501,0.031380203
user6,502,0.033663023
user6,503,0.035150703
user6,504,0.03601202
user6,505,0.036711093
user6,506,0.036861494
user6,507,0.036582693
user6,508,0.03185962
user6,509,0.031799033
user6,510,0.03180197
user6,511,0.033755973
user6,512,0.033911314
user6,513,0.03426724
user6,514,0.033853445
user6,515,0.032528367
user6,516,0.0313468
user6,517,0.030700538
user6,518,0.03260792
user6,519,0.03710585
